model,model_detay,model_yili,fiyat,sehir,ilce,ilan_turu,tip,marka,motor_hacmi,motor_tipi,donanim
Mitsubishi - Temsa Canter 8BL Çift Kabin,"KK2,5ORNLA12TK_2018_%20KDV_ÇOKTEMİZ_SEPETLİ PLATFORM 14MT_İLKEL",2018,808800,Bursa,Yıldırım,galeriden,satilik,mitsubishi,canter.8bl,cift,kabin
Renault Megane 1.3 TCe Joy,1.59 ORAN İLE DEĞİŞENSİZ 2021 RENAULT MEGANE 1.3 JOY EDC 140HP,2021,1099000,İstanbul,Zeytinburnu,galeriden,satilik,renault,1.3,tce,joy
Seat Leon 1.2 TSI Style,Sahibinden Değişensiz Seat Leon 1.2 TSI Style 2011  168.000  Km,2011,655000,Bayburt,Merkez,sahibinden,satilik,seat,1.2,tsi,style
Fiat Palio 1.4 EL,Sahibinden Fiat Palio 1.4 EL 2000 Model,2000,258000,Kırklareli,Merkez,sahibinden,satilik,fiat,1.4,el,bilinmiyor
Ford Tourneo Courier 1.5 TDCi Trend,GALERİ75-2020-FORD-COURİER-1.5TDCİ TREND-1.59KREDİ ORANI,2020,655000,İstanbul,Sultangazi,galeriden,satilik,ford,courier.1,5,tdci
Citroen C3 1.6 VTi Shine,Düşük kilometrede Citroen C3 1.6 Shine 2017 Model,2017,895000,Diyarbakır,Kayapınar,sahibinden,satilik,citroen,1.6,vti,shine
Volkswagen Passat 1.4 TSi Comfortline,Volkswagen Passat 1.4 TSi Comfortline 2010 Model,2010,800000,Samsun,Bafra,galeriden,satilik,volkswagen,1.4,tsi,comfortline
Nissan Juke 1.0 DIG-T Tekna,HATASİZ-Nissan Juke 1.0 DIG-T Tekna MAKYAJLI,2024,1345000,İstanbul,Güngören,galeriden,satilik,nissan,1.0,dig,t
Ticari Araçlar Dorse Kuru Yük Kapaklı,90 cm kapaklı hatasız 2012 ÇİNLER,2012,375000,Burdur,Bucak,galeriden,satilik,ticari,dorse.kuru,yuk,kapakli
Citroen C4 1.6 HDi SX,Sahibinden 2010 ( C-4 )  Bakımları Tam Harika Kondisyonda,2010,430000,İstanbul,Eyüpsultan,sahibinden,satilik,citroen,1.6,hdi,sx
Ticari Araçlar Dorse Kuru Yük Kapaklı,SAF Dingil 2015 Seçkinler 13.60,2015,370000,Burdur,Bucak,galeriden,satilik,ticari,dorse.kuru,yuk,kapakli
Opel Meriva 1.6 Essentia,2.Sahibinden düşük km otomatik,2006,540000,Kocaeli,Körfez,sahibinden,satilik,opel,1.6,essentia,bilinmiyor
Opel Insignia 2.0 CDTI Edition,Hem Şık Hem Güçlü/Değişensiz/Kaput -Tavan-Bagaj Orj./Bakımlı-Masrafsız/Yola Çıkmaya Hazır,2011,670000,Ankara,Yenimahalle,sahibinden,satilik,opel,2.0,cdti,edition
Honda VFR 1200 X CrossTourer DCT,DOLULAR DOLUSU FUL AKSESUAR VOLMETS MOTORSDAN,2016,629900,Denizli,Merkezefendi,galeriden,satilik,honda,1200.x,crosstourer,dct
Bajaj Pulsar 200 RS,Sahibinden Bajaj Pulsar 200 RS 2024 son ayı alındı 2000km,2024,140000,İzmir,Buca,sahibinden,satilik,bajaj,200.rs,bilinmiyor,bilinmiyor
Volvo S60 1.6 D Premium,2014 VOLVO S60 DİZEL OTOMATİK KAZASIZ-HAYALET EKRAN-DERİ KOLTUK,2014,1065000,Ankara,Yenimahalle,galeriden,satilik,volvo,1.6,d,premium
Chevrolet Aveo 1.4 SE,2011 MODEL-TAM OTOMATİK-DÜŞÜK KM-GERİ GÖRÜŞ-KAZASIZ-BAKIMLI,2011,505000,Ankara,Yenimahalle,galeriden,satilik,chevrolet,1.4,se,bilinmiyor
Ford Tourneo Connect 1.8 TDCI Deluxe,"2010 FORD CONNECT 90 LIK DEĞİŞENSİZ 2,5 PARÇA BOYALI SIFR MUAYNE",2010,515000,Tokat,Merkez,galeriden,satilik,ford,connect.1,8,tdci
Renault Fluence 1.5 dCi Privilege,RENAULT FLUENCE PRİVİLEGE PAKET 1.5 DCİ 110 HP OTOMATİK AİLE ARACI,2012,580000,Tekirdağ,Çorlu,galeriden,satilik,renault,1.5,dci,privilege
BMW 3 Serisi 316i M Sport,135BİN KM HATASIZ MEULBOURNE RED LCI NBT 19 JANT (KART GEÇER),2013,1465000,Balıkesir,Edremit,galeriden,satilik,bmw,serisi.316i,m,sport
Renault Fluence 1.5 dCi Icon,Sahibinden Renault Fluence 1.5 dCi Icon 2013 Model,2013,685000,Konya,Selçuklu,sahibinden,satilik,renault,1.5,dci,icon
Mercedes - Benz CLA 200 AMG,2015-HATASIZ-78.000KM-CAM TAVAN-BEJ FULL DERİ KOLTUK-URBAN,2015,1655000,Kahramanmaraş,Onikişubat,sahibinden,satilik,mercedes,cla.200,amg,bilinmiyor
Volkswagen Jetta 1.4 TSi BlueMotion Comfortline,1.89KREDİ12TK_2016_JETTA 1.4 BMT_81.000KM_COMFORTLİNE_HATASIZ,2016,1155000,Bursa,Yıldırım,galeriden,satilik,volkswagen,1.4,tsi,bluemotion
Renault Clio 1.5 dCi Night & Day,Sahibinden YAKIT CİMRİSİ (100 KM./ 4.3 ) Renault Clio 1.5 dCi Night & Day 2012 Model,2012,580000,İstanbul,Pendik,sahibinden,satilik,renault,1.5,dci,night
Renault Clio 1.0 TCe Joy,SATILIK OTOMATİK 2021 RENAULT CLİO 5,2021,915000,Bursa,Osmangazi,galeriden,satilik,renault,1.0,tce,joy
Fiat Egea 1.3 Multijet Easy,2022 EGEA 1.3MJT 95BG SERVİS BAKIMLI DEĞİŞEN YOK TRAMER YOK HATASIZ KARTA TAKSİT YENİ LOGO,2022,769750,İstanbul,Kadıköy,galeriden,satilik,fiat,1.3,multijet,easy
Ford Transit 300 S,2011 100 lük JOURNEY ARKA CEKER KLİMALI 140 PS 6 VITES,2011,575000,Hatay,Antakya,galeriden,satilik,ford,300.s,bilinmiyor,bilinmiyor
Ford Trucks Transit 350 M,2004. 350 KESME PİKAP MUHAYER BAKIMLI ARAÇ,2004,375000,Hatay,Antakya,galeriden,satilik,ford,transit.350,m,bilinmiyor
Peugeot Partner 1.6 BlueHDI Active,SAYGIN AUTO'DAN 2018 PARTNER,2018,599000,İstanbul,Beykoz,galeriden,satilik,peugeot,1.6,bluehdi,active
Fiat Egea 1.3 Multijet Easy,SAYGIN AUTO'DAN YETKİLİ SERVİS BAKIMLI 2022 EGEA EASY,2022,726000,İstanbul,Beykoz,galeriden,satilik,fiat,1.3,multijet,easy
Fiat Fiorino Combi 1.3 Multijet Pop,2022 FİORİNO 1.3MJT 95BG 98.000KM TABLET EKRAN DEĞİŞENSİZ SÖKÜLENSİZ BOYASIZ KARTA TAKSİT,2022,669750,İstanbul,Kadıköy,galeriden,satilik,fiat,combi.1,3,multijet
Peugeot 308 1.6 BlueHdi Active,ÖZÇUBUK MOTORS'DAN 2017 BOYASIZ 308 DİZEL OTOMATİK EAT6 BAKIMLI,2017,865000,Ankara,Kahramankazan,galeriden,satilik,peugeot,1.6,bluehdi,active
Toyota Corolla 1.5 Dream,Sahibinden Toyota Corolla 1.5 Dream 2021 Model,2021,1285000,Gaziantep,Şehitkamil,sahibinden,satilik,toyota,1.5,dream,bilinmiyor
Volkswagen Transporter 2.0 TDI City Van,TEMİZ VE BAKIMLI MASRAFSIZ 2.0 TDI 102 HP ORJİNAL CİTYVAN,2011,545000,Afyonkarahisar,Merkez,galeriden,satilik,volkswagen,2.0,tdi,city
Volkswagen Golf 1.6 TDi BlueMotion Midline Plus,Galeriden Volkswagen Golf 1.6 TDi BlueMotion Midline Plus 2013 Model Ankara,2013,877500,Ankara,Polatlı,galeriden,satilik,volkswagen,1.6,tdi,bluemotion
Toyota Corolla 1.6 Flame,Sahibinden Toyota Corolla 1.6 Flame 2020 Model,2020,1550000,İstanbul,Kadıköy,sahibinden,satilik,toyota,1.6,flame,bilinmiyor
Fiat Doblo Cargo 1.6 Multijet,BURSA MERKEZ OTOMOTİV 2021 DOBLO 1.6 MULTİJET KISA ŞASE PANELVAN,2021,575000,Bursa,Osmangazi,galeriden,satilik,fiat,cargo.1,6,multijet
Ford - Otosan Transit 14+1,"""YOLCU""dan 14+1 orijinal minibüs 4 lastik sıfır 320ooo km",2008,460000,Konya,Bozkır,galeriden,satilik,ford,transit.14,1,bilinmiyor
Ford - Otosan Transit 16+1,"""YOLCU""dan 14+1 minibüs 130ps çift teker jumbo 360ooo km",2007,460000,Konya,Bozkır,galeriden,satilik,ford,transit.16,1,bilinmiyor
Opel Vectra 1.6 Comfort,2008 1.6 VECTRA // SUNROOFLU // HATASIZ AYARINDA // EMSALSİZ,2008,515000,Bingöl,Merkez,galeriden,satilik,opel,1.6,comfort,bilinmiyor
Fiat Doblo Cargo 1.6 Multijet Maxi Plus,2021 FİAT DOBLO,2021,610000,Antalya,Muratpaşa,galeriden,satilik,fiat,cargo.1,6,multijet
Dacia Dokker 1.5 DCi Ambiance,2017 MODEL % 44 PEŞİN 36 AY KREDİLİ -TAKASLI- KARTLARA 12 TAKSİT,2017,690000,Adana,Kozan,galeriden,satilik,dacia,1.5,dci,ambiance
Dacia Duster 1.5 dCi Ambiance,2016 MODEL%47 PEŞİNATLI 36 AY KREDİLİ-TAKASLI-KARTLARA 12 TAKSİT,2016,755000,Adana,Kozan,galeriden,satilik,dacia,1.5,dci,ambiance
Hyundai Getz 1.4 DOHC Start,SADECE 100.000 KM DE GETS (150.000 PEŞİNAT KALANI 36 AY KREDİLİ),2011,425000,İzmir,Gaziemir,galeriden,satilik,hyundai,1.4,dohc,start
Opel Mokka 1.2 T Elegance,2021 MOKKA HATASIZ BOYASIZ TRAMERSİZ DÜŞÜK KM,2021,1269900,Ankara,Sincan,galeriden,satilik,opel,1.2,t,elegance
Ford Trucks Transit 350 L,2016 FORD TRANSİT 350L UZUN ŞASE 6 İLERİ VİTES BOYASIZ HATASIZ MASRAFSIZ,2016,925000,Nevşehir,Merkez,galeriden,satilik,ford,transit.350,l,bilinmiyor
Fiat Linea 1.3 Multijet Active Plus,2011 FİAT LİNEA 1.3 MULTİJET ACTİVE PLUS KLİMALI HATASIZ MASRAFSIZ,2011,400000,Nevşehir,Merkez,galeriden,satilik,fiat,1.3,multijet,active
Ford Focus 1.6 TDCi Collection,Sahibinden Ford Focus 1.6 TDCi Collection 2011 Model,2011,450000,Muğla,Yatağan,sahibinden,satilik,ford,1.6,tdci,collection
Ford Puma 1.0 EcoBoost Style,2023 MODEL 46 BİN KM HATASIZ BOYASIZ DEĞİŞENSİZ STYLE COMFORT.!,2023,1269000,İzmir,Karabağlar,galeriden,satilik,ford,1.0,ecoboost,style
Fiat Doblo Panorama 1.6 Multijet Premio Plus,2020 - Doblo Premio Plus 1.6 120 Bg 76.000 Km Aksesuarlı,2020,805000,Yalova,Merkez,galeriden,satilik,fiat,panorama.1,6,multijet
Mercedes - Benz C 180 AMG,ROYAL GARAGE'DAN 2015 C180 AMG-BEYAZ-CAM TVN-K.ISITMA-BAYİİ,2015,1529750,Ankara,Akyurt,galeriden,satilik,mercedes,c.180,amg,bilinmiyor
Audi A3 Sedan 1.6 TDI Ambiente,2016 A3 SEDAN DİZEL OTOMATİK HATASIZ CAM TAVAN İÇİ BEJ,2016,1395000,Ankara,Akyurt,galeriden,satilik,audi,sedan.1,6,tdi
Opel Corsa 1.3 CDTI Essentia,AKARSU OTOMOTİVDEN 130.000 KM DE DEĞİŞENSİZ OPEL CORSA 1.3 CDTİ,2013,555000,Tokat,Zile,galeriden,satilik,opel,1.3,cdti,essentia
Skoda SuperB 2.0 TDI Prestige,2014 DERİ KOLTUK SOĞUTMA 4 KOLTUK ISITMA ANAHTARSIZ ÇALIŞTIRMA,2014,1150000,İzmir,Gaziemir,galeriden,satilik,skoda,2.0,tdi,prestige
MINI Cooper Countryman 1.6 S,BRİTİSH (İNGİLTERE) PAKET+COOPER WORKS. KOLEKSİYON ÖZEL SİPARİŞ,2013,1150000,Tekirdağ,Çorlu,galeriden,satilik,mini,countryman.1,6,s
Chevrolet Aveo 1.3 D LTZ,BOYASIZ 2012 AVEO 1.3 D LTZ MANUEL,2012,459000,Denizli,Merkezefendi,galeriden,satilik,chevrolet,1.3,d,ltz
Audi A6 Sedan 2.0 TDI,2015 HATASIZ HAYALET/ÇİFT NAVİ/VAKUM/3KOL,2015,1825000,İzmir,Gaziemir,galeriden,satilik,audi,sedan.2,0,tdi
Dacia Duster 1.5 dCi Laureate,MKN OTOMOTİV'DEN 2013 DACİA DUSTER 1.5DCİ LAUREATE 4x4 HATASIZ,2013,720000,Konya,Çumra,galeriden,satilik,dacia,1.5,dci,laureate
Opel Astra 1.6 Essentia Konfor,OPEL ASTRA HATASIZ BOYASIZ 138.000 KM,2011,695000,Tokat,Turhal,galeriden,satilik,opel,1.6,essentia,konfor
Volkswagen Tiguan 1.4 TSI Sport&Style,OSCAR'dan DÜŞÜK KM DEĞİŞENSİZ TİGUAN 4 EMİTİON,2011,865000,Tekirdağ,Çerkezköy,galeriden,satilik,volkswagen,1.4,tsi,sport
Peugeot 207 1.6 HDi Premium,DMR CARS|2009 PEJO 207 1.6 HDİ/EN FUL PAKET/RC JANT/COIL/P BOYA,2007,405000,İstanbul,Bağcılar,galeriden,satilik,peugeot,1.6,hdi,premium
Fiat Palio 1.2 Active,ŞEFİK CENGİZ'DEN TR DE TEK 2006 MODEL BOYASIZ 42BİN KM,2006,439900,Kütahya,Tavşanlı,galeriden,satilik,fiat,1.2,active,bilinmiyor
Ford Tourneo Connect 1.8 TDCI GLX,2008 MODEL FORD CONNECT DEĞİŞENSİZ,2008,385000,İzmir,Ödemiş,galeriden,satilik,ford,connect.1,8,tdci
Toyota Corolla 1.4 D-4D Elegant,SEL-CAR'dan - 2009 - TOYOTA COROLLA - DİZEL - OTOMATİK,2009,609900,İstanbul,Beylikdüzü,galeriden,satilik,toyota,1.4,d,4d
Renault Clio 1.2 Authentique,BRK OTOMOTİVDEN SATILIK CLİO,2006,355000,Aydın,Söke,galeriden,satilik,renault,1.2,authentique,bilinmiyor
Citroen Berlingo 1.9 D SX,2001 OTOMOBİL RUHSATLI CİTROEN BERLİNGO HİDROLİK MOTOR ÇOK İYİ,2001,188000,Aydın,Nazilli,galeriden,satilik,citroen,1.9,d,sx
Chevrolet Aveo 1.3 D LTZ,BOYASIZ 2012 AVEO 1.3 D LTZ MANUEL,2012,459000,Denizli,Merkezefendi,galeriden,satilik,chevrolet,1.3,d,ltz
Audi A6 Sedan 2.0 TDI,2015 HATASIZ HAYALET/ÇİFT NAVİ/VAKUM/3KOL,2015,1825000,İzmir,Gaziemir,galeriden,satilik,audi,sedan.2,0,tdi
Dacia Duster 1.5 dCi Laureate,MKN OTOMOTİV'DEN 2013 DACİA DUSTER 1.5DCİ LAUREATE 4x4 HATASIZ,2013,720000,Konya,Çumra,galeriden,satilik,dacia,1.5,dci,laureate
Opel Astra 1.6 Essentia Konfor,OPEL ASTRA HATASIZ BOYASIZ 138.000 KM,2011,695000,Tokat,Turhal,galeriden,satilik,opel,1.6,essentia,konfor
Volkswagen Tiguan 1.4 TSI Sport&Style,OSCAR'dan DÜŞÜK KM DEĞİŞENSİZ TİGUAN 4 EMİTİON,2011,865000,Tekirdağ,Çerkezköy,galeriden,satilik,volkswagen,1.4,tsi,sport
Peugeot 207 1.6 HDi Premium,DMR CARS|2009 PEJO 207 1.6 HDİ/EN FUL PAKET/RC JANT/COIL/P BOYA,2007,405000,İstanbul,Bağcılar,galeriden,satilik,peugeot,1.6,hdi,premium
Fiat Palio 1.2 Active,ŞEFİK CENGİZ'DEN TR DE TEK 2006 MODEL BOYASIZ 42BİN KM,2006,439900,Kütahya,Tavşanlı,galeriden,satilik,fiat,1.2,active,bilinmiyor
Ford Tourneo Connect 1.8 TDCI GLX,2008 MODEL FORD CONNECT DEĞİŞENSİZ,2008,385000,İzmir,Ödemiş,galeriden,satilik,ford,connect.1,8,tdci
Toyota Corolla 1.4 D-4D Elegant,SEL-CAR'dan - 2009 - TOYOTA COROLLA - DİZEL - OTOMATİK,2009,609900,İstanbul,Beylikdüzü,galeriden,satilik,toyota,1.4,d,4d
Renault Clio 1.2 Authentique,BRK OTOMOTİVDEN SATILIK CLİO,2006,355000,Aydın,Söke,galeriden,satilik,renault,1.2,authentique,bilinmiyor
Citroen Berlingo 1.9 D SX,2001 OTOMOBİL RUHSATLI CİTROEN BERLİNGO HİDROLİK MOTOR ÇOK İYİ,2001,188000,Aydın,Nazilli,galeriden,satilik,citroen,1.9,d,sx
Peugeot 308 1.6 BlueHdi Active,ÖZÇUBUK MOTORS'DAN 2017 BOYASIZ 308 DİZEL OTOMATİK EAT6 BAKIMLI,2017,865000,Ankara,Kahramankazan,galeriden,satilik,peugeot,1.6,bluehdi,active
Toyota Corolla 1.5 Dream,Sahibinden Toyota Corolla 1.5 Dream 2021 Model,2021,1285000,Gaziantep,Şehitkamil,sahibinden,satilik,toyota,1.5,dream,bilinmiyor
Volkswagen Transporter 2.0 TDI City Van,TEMİZ VE BAKIMLI MASRAFSIZ 2.0 TDI 102 HP ORJİNAL CİTYVAN,2011,545000,Afyonkarahisar,Merkez,galeriden,satilik,volkswagen,2.0,tdi,city
Volkswagen Golf 1.6 TDi BlueMotion Midline Plus,Galeriden Volkswagen Golf 1.6 TDi BlueMotion Midline Plus 2013 Model Ankara,2013,877500,Ankara,Polatlı,galeriden,satilik,volkswagen,1.6,tdi,bluemotion
Toyota Corolla 1.6 Flame,Sahibinden Toyota Corolla 1.6 Flame 2020 Model,2020,1550000,İstanbul,Kadıköy,sahibinden,satilik,toyota,1.6,flame,bilinmiyor
Fiat Doblo Cargo 1.6 Multijet,BURSA MERKEZ OTOMOTİV 2021 DOBLO 1.6 MULTİJET KISA ŞASE PANELVAN,2021,575000,Bursa,Osmangazi,galeriden,satilik,fiat,cargo.1,6,multijet
Ford - Otosan Transit 14+1,"""YOLCU""dan 14+1 orijinal minibüs 4 lastik sıfır 320ooo km",2008,460000,Konya,Bozkır,galeriden,satilik,ford,transit.14,1,bilinmiyor
Ford - Otosan Transit 16+1,"""YOLCU""dan 14+1 minibüs 130ps çift teker jumbo 360ooo km",2007,460000,Konya,Bozkır,galeriden,satilik,ford,transit.16,1,bilinmiyor
Opel Vectra 1.6 Comfort,2008 1.6 VECTRA // SUNROOFLU // HATASIZ AYARINDA // EMSALSİZ,2008,515000,Bingöl,Merkez,galeriden,satilik,opel,1.6,comfort,bilinmiyor
Fiat Doblo Cargo 1.6 Multijet Maxi Plus,2021 FİAT DOBLO,2021,610000,Antalya,Muratpaşa,galeriden,satilik,fiat,cargo.1,6,multijet
Dacia Dokker 1.5 DCi Ambiance,2017 MODEL % 44 PEŞİN 36 AY KREDİLİ -TAKASLI- KARTLARA 12 TAKSİT,2017,690000,Adana,Kozan,galeriden,satilik,dacia,1.5,dci,ambiance
Dacia Duster 1.5 dCi Ambiance,2016 MODEL%47 PEŞİNATLI 36 AY KREDİLİ-TAKASLI-KARTLARA 12 TAKSİT,2016,755000,Adana,Kozan,galeriden,satilik,dacia,1.5,dci,ambiance
Hyundai Getz 1.4 DOHC Start,SADECE 100.000 KM DE GETS (150.000 PEŞİNAT KALANI 36 AY KREDİLİ),2011,425000,İzmir,Gaziemir,galeriden,satilik,hyundai,1.4,dohc,start
Opel Mokka 1.2 T Elegance,2021 MOKKA HATASIZ BOYASIZ TRAMERSİZ DÜŞÜK KM,2021,1269900,Ankara,Sincan,galeriden,satilik,opel,1.2,t,elegance
Ford Trucks Transit 350 L,2016 FORD TRANSİT 350L UZUN ŞASE 6 İLERİ VİTES BOYASIZ HATASIZ MASRAFSIZ,2016,925000,Nevşehir,Merkez,galeriden,satilik,ford,transit.350,l,bilinmiyor
Fiat Linea 1.3 Multijet Active Plus,2011 FİAT LİNEA 1.3 MULTİJET ACTİVE PLUS KLİMALI HATASIZ MASRAFSIZ,2011,400000,Nevşehir,Merkez,galeriden,satilik,fiat,1.3,multijet,active
Ford Focus 1.6 TDCi Collection,Sahibinden Ford Focus 1.6 TDCi Collection 2011 Model,2011,450000,Muğla,Yatağan,sahibinden,satilik,ford,1.6,tdci,collection
Ford Puma 1.0 EcoBoost Style,2023 MODEL 46 BİN KM HATASIZ BOYASIZ DEĞİŞENSİZ STYLE COMFORT.!,2023,1269000,İzmir,Karabağlar,galeriden,satilik,ford,1.0,ecoboost,style
Skoda SuperB 1.6 TDI Prestige,2020 SKODA SÜPER B BOYASIZ CAM TAVAN İÇİ BEJ KESİK DİREKSİYON,2020,2085000,Mardin,Kızıltepe,galeriden,satilik,skoda,1.6,tdi,prestige
Fiat Egea 1.6 Multijet Easy,NAZAR'DAN?2025 Egea 1.6 M.jet EasyGüvenlik Paket Hemen Teslim,2025,1255000,Adıyaman,Besni,galeriden,satilik,fiat,1.6,multijet,easy
Peugeot 308 1.6 BlueHdi Style,TANEER AUTO'DAN PEUGEOT 308 1.6 BlueHDI OTOMATİK STYLE EAT6,2016,965000,Zonguldak,Ereğli,galeriden,satilik,peugeot,1.6,bluehdi,style
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,-AYHAN-DAN NOKTA HATASIZ BOYASIZ CAM TAVAN OTAMATİK PASSAT,2015,1339900,Kahramanmaraş,Elbistan,galeriden,satilik,volkswagen,1.6,tdi,bluemotion
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,-AYHAN-DAN MASRAFSIZ 2013 OTAMATİK PASSAT KUSURSUZ DEGIŞENSIZ,2013,975000,Kahramanmaraş,Elbistan,galeriden,satilik,volkswagen,1.6,tdi,bluemotion
Kia Rio 1.4 CRDi Fancy,Galeriden Kia Rio 1.4 CRDi Fancy 2014 Model İstanbul,2014,495900,İstanbul,Küçükçekmece,galeriden,satilik,kia,1.4,crdi,fancy
Dacia Sandero 1.5 dCi Stepway,Galeriden Dacia Sandero 1.5 dCi Stepway 2016 Model Bolu,2016,785000,Bolu,Merkez,galeriden,satilik,dacia,1.5,dci,stepway
Fiat Egea 1.3 Multijet Lounge,Galeriden Fiat Egea 1.3 Multijet Lounge 2017 Model Bolu,2017,700000,Bolu,Merkez,galeriden,satilik,fiat,1.3,multijet,lounge
Ford Kuga 1.5 EcoBlue Titanium,Galeriden Ford Kuga 1.5 EcoBlue Titanium 2020 Model İzmir,2020,1595000,İzmir,Balçova,galeriden,satilik,ford,1.5,ecoblue,titanium
Hyundai Accent 1.3 LX,Hyundai Accent 1.3 LX 2000 Model Afyonkarahisar,2000,235000,Afyonkarahisar,Bolvadin,galeriden,satilik,hyundai,1.3,lx,bilinmiyor
Renault Megane 1.5 dCi Touch Plus,Galeriden Renault Megane 1.5 dCi Touch Plus 2015 Model Şanlıurfa,2015,667500,Şanlıurfa,Siverek,galeriden,satilik,renault,1.5,dci,touch
BMW X5 30d,WAGENMOTORS BMW X5 SPORT PAKET X DRİVE CAM TVN 4 ISITMA HAFIZA,2005,1145000,Adana,Seyhan,galeriden,satilik,bmw,bilinmiyor,bilinmiyor,bilinmiyor
Volkswagen Tiguan 1.6 TDi Comfortline,ORTAKOY OTOMOTİVDEN HATASIZ BOYASIZ CAM TAVANLI,2017,1400000,Aksaray,Ortaköy,galeriden,satilik,volkswagen,1.6,tdi,comfortline
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,ORTAKÖY OTOMOTİVDEN 150 BİN KM HATASIZ BOYASIZ MANUEL PASSAT,2011,1025000,Aksaray,Ortaköy,galeriden,satilik,volkswagen,1.6,tdi,bluemotion
Ford Trucks Transit T330 s,2021 model orjinal Pikap Tekno 4 en fulu tr in en uygunu,2021,795000,Osmaniye,Merkez,galeriden,satilik,ford,transit.t330,s,bilinmiyor
Renault Megane 1.3 TCe Icon,AKİF 'den 2o23 Megane 1.3 TCe EDC İCON Hatasız-Boyasız(54.000km),2023,1455900,Ankara,Akyurt,galeriden,satilik,renault,1.3,tce,icon
Honda Civic 1.6 i ES,DRN MOTORS- YÜRÜYEN MASRAFSIZ 1.6 iES OTOMATİK,1998,339500,İstanbul,Ataşehir,galeriden,satilik,honda,1.6,i,es
BMW X2 1.6d sDrive M Sport X,2020 BMW X2 16D sDRİVE M SPORT X HATASIZ+CAMTAVAN+ŞERİTTAKİP+NBT,2020,2020000,Mersin,Yenişehir,galeriden,satilik,bmw,1.6d,sdrive,m
Mercedes - Benz A 180 CDI BlueEFFICIENCY AMG,2015 Model Model Mercedes - Benz A 180 CDI BlueEFFICIENCY AMG,2015,1299000,İzmir,Karabağlar,galeriden,satilik,mercedes,a.180,cdi,blueefficiency
Fiat Doblo Panorama 1.6 Multijet Premio Plus,2020 - Doblo Premio Plus 1.6 120 Bg 76.000 Km Aksesuarlı,2020,805000,Yalova,Merkez,galeriden,satilik,fiat,panorama.1,6,multijet
Mercedes - Benz C 180 AMG,ROYAL GARAGE'DAN 2015 C180 AMG-BEYAZ-CAM TVN-K.ISITMA-BAYİİ,2015,1529750,Ankara,Akyurt,galeriden,satilik,mercedes,c.180,amg,bilinmiyor
Audi A3 Sedan 1.6 TDI Ambiente,2016 A3 SEDAN DİZEL OTOMATİK HATASIZ CAM TAVAN İÇİ BEJ,2016,1395000,Ankara,Akyurt,galeriden,satilik,audi,sedan.1,6,tdi
Opel Corsa 1.3 CDTI Essentia,AKARSU OTOMOTİVDEN 130.000 KM DE DEĞİŞENSİZ OPEL CORSA 1.3 CDTİ,2013,555000,Tokat,Zile,galeriden,satilik,opel,1.3,cdti,essentia
Skoda SuperB 2.0 TDI Prestige,2014 DERİ KOLTUK SOĞUTMA 4 KOLTUK ISITMA ANAHTARSIZ ÇALIŞTIRMA,2014,1150000,İzmir,Gaziemir,galeriden,satilik,skoda,2.0,tdi,prestige
MINI Cooper Countryman 1.6 S,BRİTİSH (İNGİLTERE) PAKET+COOPER WORKS. KOLEKSİYON ÖZEL SİPARİŞ,2013,1150000,Tekirdağ,Çorlu,galeriden,satilik,mini,countryman.1,6,s
Chevrolet Aveo 1.3 D LTZ,BOYASIZ 2012 AVEO 1.3 D LTZ MANUEL,2012,459000,Denizli,Merkezefendi,galeriden,satilik,chevrolet,1.3,d,ltz
Audi A6 Sedan 2.0 TDI,2015 HATASIZ HAYALET/ÇİFT NAVİ/VAKUM/3KOL,2015,1825000,İzmir,Gaziemir,galeriden,satilik,audi,sedan.2,0,tdi
Dacia Duster 1.5 dCi Laureate,MKN OTOMOTİV'DEN 2013 DACİA DUSTER 1.5DCİ LAUREATE 4x4 HATASIZ,2013,720000,Konya,Çumra,galeriden,satilik,dacia,1.5,dci,laureate
Opel Astra 1.6 Essentia Konfor,OPEL ASTRA HATASIZ BOYASIZ 138.000 KM,2011,695000,Tokat,Turhal,galeriden,satilik,opel,1.6,essentia,konfor
Volkswagen Tiguan 1.4 TSI Sport&Style,OSCAR'dan DÜŞÜK KM DEĞİŞENSİZ TİGUAN 4 EMİTİON,2011,865000,Tekirdağ,Çerkezköy,galeriden,satilik,volkswagen,1.4,tsi,sport
Peugeot 207 1.6 HDi Premium,DMR CARS|2009 PEJO 207 1.6 HDİ/EN FUL PAKET/RC JANT/COIL/P BOYA,2007,405000,İstanbul,Bağcılar,galeriden,satilik,peugeot,1.6,hdi,premium
Fiat Palio 1.2 Active,ŞEFİK CENGİZ'DEN TR DE TEK 2006 MODEL BOYASIZ 42BİN KM,2006,439900,Kütahya,Tavşanlı,galeriden,satilik,fiat,1.2,active,bilinmiyor
Ford Tourneo Connect 1.8 TDCI GLX,2008 MODEL FORD CONNECT DEĞİŞENSİZ,2008,385000,İzmir,Ödemiş,galeriden,satilik,ford,connect.1,8,tdci
Toyota Corolla 1.4 D-4D Elegant,SEL-CAR'dan - 2009 - TOYOTA COROLLA - DİZEL - OTOMATİK,2009,609900,İstanbul,Beylikdüzü,galeriden,satilik,toyota,1.4,d,4d
